
MSG,8,1,1,0D08F4,1,2026/02/09,20:22:41.370,2026/02/09,20:22:41.398,,,,,,,,,,,,0
MSG,8,1,1,0D08F4,1,2026/02/09,20:22:42.386,2026/02/09,20:22:42.397,,,,,,,,,,,,0
MSG,7,1,1,0D08F4,1,2026/02/09,20:22:43.123,2026/02/09,20:22:43.150,,7025,,,,,,,,,,
MSG,8,1,1,0D08F4,1,2026/02/09,20:22:43.145,2026/02/09,20:22:43.171,,,,,,,,,,,,0
MSG,7,1,1,0D08F4,1,2026/02/09,20:22:43.158,2026/02/09,20:22:43.171,,7025,,,,,,,,,,
MSG,4,1,1,0D08F4,1,2026/02/09,20:22:43.196,2026/02/09,20:22:43.224,,,117,59,,,64,,,,,0
MSG,7,1,1,0D08F4,1,2026/02/09,20:22:46.552,2026/02/09,20:22:46.579,,7025,,,,,,,,,,
MSG,3,1,1,0D08F4,1,2026/02/09,20:22:46.832,2026/02/09,20:22:46.854,,7025,,,,,,,0,,0,0
MSG,4,1,1,0D08F4,1,2026/02/09,20:22:46.899,2026/02/09,20:22:46.926,,,132,60,,,64,,,,,0
MSG,4,1,1,0D08F4,1,2026/02/09,20:22:48.288,2026/02/09,20:22:48.290,,,137,60,,,64,,,,,0
MSG,7,1,1,0D08F4,1,2026/02/09,20:22:48.452,2026/02/09,20:22:48.482,,7025,,,,,,,,,,
MSG,4,1,1,0D08F4,1,2026/02/09,20:22:49.086,2026/02/09,20:22:49.105,,,140,60,,,0,,,,,0
MSG,3,1,1,0D08F4,1,2026/02/09,20:22:49.220,2026/02/09,20:22:49.229,,7025,,,,,,,0,,0,0
MSG,7,1,1,0D08F4,1,2026/02/09,20:22:49.324,2026/02/09,20:22:49.332,,7025,,,,,,,,,,
MSG,7,1,1,0D08F4,1,2026/02/09,20:22:49.522,2026/02/09,20:22:49.533,,7025,,,,,,,,,,
MSG,3,1,1,0D08F4,1,2026/02/09,20:22:49.999,2026/02/09,20:22:50.005,,7025,,,19.433853,-99.079366,,,0,,0,0
